,TotalT,Temp,LSR,CA,Size,Mass,Moisture,IsoT,HeatT,Ramp,F_A,F_Gal,F_Glu,F_X,F_M,F_R,A,Gal,Glu,X,M,R,Furf,HMF,Source,Yield
178,84.5358843812208,115.0,8.0,0.20393596410727036,8.0,16.67,20.0,73.2858843812208,11.25,8.0,,,,18.863636363636367,,,,,,18.2788203753351,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.7751981653154163
179,95.2436654550816,115.0,8.0,0.20393596410727036,8.0,16.67,20.0,83.9936654550816,11.25,8.0,,,,18.863636363636367,,,,,,18.294906166219803,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.7758803578926952
180,105.24481063036379,115.0,8.0,0.20393596410727036,8.0,16.67,20.0,93.99481063036379,11.25,8.0,,,,18.863636363636367,,,,,,18.6166219839142,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.7895242094382889
181,114.37601477432942,115.0,8.0,0.20393596410727036,8.0,16.67,20.0,103.12601477432942,11.25,8.0,,,,18.863636363636367,,,,,,18.4075067024128,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.7806557059336512
182,125.9636198990676,115.0,8.0,0.20393596410727036,8.0,16.67,20.0,114.7136198990676,11.25,8.0,,,,18.863636363636367,,,,,,18.2788203753351,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.7751981653154163
183,140.88156730571578,115.0,8.0,0.20393596410727036,8.0,16.67,20.0,129.63156730571578,11.25,8.0,,,,18.863636363636367,,,,,,18.4879356568364,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.7840666688200496
184,153.34334904158217,115.0,8.0,0.20393596410727036,8.0,16.67,20.0,142.09334904158217,11.25,8.0,,,,18.863636363636367,,,,,,18.6005361930294,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.7888420168610057
185,164.5777538720256,115.0,8.0,0.20393596410727036,8.0,16.67,20.0,153.3277538720256,11.25,8.0,,,,18.863636363636367,,,,,,18.6166219839142,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.7895242094382889
186,177.22896014946843,115.0,8.0,0.20393596410727036,8.0,16.67,20.0,165.9789601494684,11.25,8.0,,,,18.863636363636367,,,,,,17.7801608579088,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.7540501954197466
187,189.69544808512558,115.0,8.0,0.20393596410727036,8.0,16.67,20.0,178.44544808512558,11.25,8.0,,,,18.863636363636367,,,,,,17.5710455764075,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.7451816919151132
188,201.11315939741817,115.0,8.0,0.20393596410727036,8.0,16.67,20.0,189.86315939741817,11.25,8.0,,,,18.863636363636367,,,,,,17.0563002680965,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.7233515294421647
189,212.8760704643604,115.0,8.0,0.20393596410727036,8.0,16.67,20.0,201.6260704643604,11.25,8.0,,,,18.863636363636367,,,,,,16.9436997319034,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.7185761814012044
190,225.1717233476136,115.0,8.0,0.20393596410727036,8.0,16.67,20.0,213.9217233476136,11.25,8.0,,,,18.863636363636367,,,,,,16.4128686327077,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.6960638263509771
191,237.8184587352558,115.0,8.0,0.20393596410727036,8.0,16.67,20.0,226.5684587352558,11.25,8.0,,,,18.863636363636367,,,,,,15.882037533512001,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.6735514713007499
192,249.06204065529118,115.0,8.0,0.20393596410727036,8.0,16.67,20.0,237.81204065529118,11.25,8.0,,,,18.863636363636367,,,,,,15.2707774798927,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.6476281533641242
193,11.25,115.0,8.0,0.3059039461609055,8.0,16.67,20.0,0.0,11.25,8.0,,,,18.863636363636367,,,,,,4.613996696098821,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.19567793217190177
194,16.280999681529263,115.0,8.0,0.3059039461609055,8.0,16.67,20.0,5.030999681529264,11.25,8.0,,,,18.863636363636367,,,,,,8.14095403405587,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.3452549180708031
195,28.603303249332782,115.0,8.0,0.3059039461609055,8.0,16.67,20.0,17.35330324933278,11.25,8.0,,,,18.863636363636367,,,,,,14.3002899759936,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.6064701291023791
196,34.297504288180626,115.0,8.0,0.3059039461609055,8.0,16.67,20.0,23.047504288180622,11.25,8.0,,,,18.863636363636367,,,,,,16.704464736349,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.7084303117102225
197,41.1597107503431,115.0,8.0,0.3059039461609055,8.0,16.67,20.0,29.909710750343102,11.25,8.0,,,,18.863636363636367,,,,,,17.7578989125434,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.7531060743632862
198,46.49605124212902,115.0,8.0,0.3059039461609055,8.0,16.67,20.0,35.24605124212903,11.25,8.0,,,,18.863636363636367,,,,,,18.635716028390398,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.7903339809630626
199,53.950501544862426,115.0,8.0,0.3059039461609055,8.0,16.67,20.0,42.700501544862426,11.25,8.0,,,,18.863636363636367,,,,,,18.4962370167299,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.7844187264926414
200,60.81913329397458,115.0,8.0,0.3059039461609055,8.0,16.67,20.0,49.56913329397458,11.25,8.0,,,,18.863636363636367,,,,,,19.14616317249,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.8119818598453589
